Line #,Rev,Fitted,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer 2,Manufacturer Part Number 2,Manufacturer 3,Manufacturer Part Number 3
"19","","Not Fitted","CAP CER 1.5pF 50V C0G 0402","1.5pF ±0.25pF 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C49, C54, C55","0","Kyocera AVX","04025A1R5CAT2A","KEMET","C0402C159C5GACTU","Murata","GJM1555C1H1R5CB01D"
"20","","Fitted","CAP CER 4.7UF 10V 20% X5R 0402","4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)","C16, C35, C36, C70, C71, C74, C75, C81","8","Samsung","CL05A475MP5NRNC","Murata","ZRB15XR61A475ME01D","TDK","C1005X5R1A475M050BC"
"20","","Not Fitted","CAP CER 4.7UF 10V 20% X5R 0402","4.7µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)","C89","0","Samsung","CL05A475MP5NRNC","Murata","ZRB15XR61A475ME01D","TDK","C1005X5R1A475M050BC"
"21","","Fitted","CAP CER 10uF 6.3V 20% X5R 0603","10µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)","C30, C31, C32","3","Murata","GRM188R60J106ME47D","Kyocera AVX","06036D106MAT2A","Yageo","CC0603MRX5R5BB106"
"22","","Not Fitted","CAP CER 10uF 10V 20% X5R 0402","10µF ±20% 10V Ceramic Capacitor X5R 0402 (1005 Metric)","C85","0","Samsung","CL05A106MP8NUB8","","","",""
"23","","Fitted","CAP CER 22uF 6.3V 20% X5R 0603","22µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)","C19, C78","2","Samsung","CL10A226MQ8NRNE","","","",""
"23","","Not Fitted","CAP CER 22uF 6.3V 20% X5R 0603","22µF ±20% 6.3V Ceramic Capacitor X5R 0603 (1608 Metric)","C24, C27","0","Samsung","CL10A226MQ8NRNE","","","",""
"24","","Fitted","CAP CER 220pF 50V 5% C0G 0402","220pF ±5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)","C42, C47","2","Samsung","CL05C221JB5NNNC","Kyocera AVX","04025A221JAT2A","Murata","GCM1555C1H221JA16D"
"25","","Fitted","CAP CER 1000pF 1000V 10% X7R 0805","1000pF ±10% 1000V (1kV) Ceramic Capacitor X7R 0805 (2012 Metric)","C17, C57","2","KEMET","C0805C102KDRACTU","","","",""
"26","","Fitted","CAP CER 1500pF 50V 10% X7R 0402","1500pF ±10% 50V Ceramic Capacitor X7R 0402 (1005 Metric)","C41, C46, C51","3","Murata","GCM155R71H152KA37D","","","",""
"27","","Fitted","CAP CER 2.2uF 6.3V 10% X5R 0402","2.2µF ±10% 6.3V Ceramic Capacitor X5R 0402 (1005 Metric)","C4, C13, C40, C50, C58, C83","6","KEMET","C0402C225K9PACTU","Samsung","CL05A225KQ5NSNC","Kyocera AVX","04026D225KAT2A"
"28","","Fitted","CAT24C04C4ATR","EEPROM Memory IC 4Kb (512 x 8) I²C 400kHz 900ns 4-WLCSP (0.84x0.86)","U3","1","ON Semiconductor","CAT24C04C4ATR","","","",""
"29","","Fitted","CSTNE8M00G550000R0","8MHz Ceramic Resonator Built in Capacitor 33pF ±0.2% 40 Ohms -40°C ~ 85°C Surface Mount","X2","1","Murata","CSTNE8M00G550000R0","Abracon","AWSCR-8.00CELB-C10-T3","ECS International","ECS-CTE-8.00-10-TR"
"30","","Fitted","D5V0M1U2S9-7","12V Clamp 9A (8/20µs) Ipp Tvs Diode Surface Mount SOD-923","D5, D6","2","Diodes","D5V0M1U2S9-7","","","",""
"31","","Fitted","DMP2104LP-7","P-Channel 20 V 1.5A (Ta) 500mW (Ta) Surface Mount 3-DFN1411 (1.4x1.1)","Q1, Q2","2","Diodes","DMP2104LP-7","","","",""
"32","","Not Fitted","ECS-.327-6-12-TR","Parallel - Fundamental Quartz Crystal, 0.032768MHz Nom","X1","0","ECS International","ECS-.327-6-12-C-TR","ECS International","ECS-.327-6-12-TR","",""
"33","","Not Fitted","FH34SRJ-16S-0.5SH(50)","16 Position FFC, FPC Connector Contacts, Top and Bottom 0.020"" (0.50mm) Surface Mount, Right Angle","J4","0","Hirose","FH34SRJ-16S-0.5SH(50)","","","",""
"34","","Fitted","IN-S63AT5A","Amber 605nm LED Indication - Discrete 1.9V 0603 (1608 Metric)","LED9","1","Inolux","IN-S63AT5A","","","",""
"34","","Not Fitted","IN-S63AT5A","Amber 605nm LED Indication - Discrete 1.9V 0603 (1608 Metric)","LED8","0","Inolux","IN-S63AT5A","","","",""
"35","","Fitted","IN-S63AT5UW","White - LED Indication - Discrete 3V 0603 (1608 Metric)","LED10","1","Inolux","IN-S63AT5UW","","","",""
"36","","Fitted","KB DELPS2.DI-THVG-2J8L-Z555","Blue 466nm LED Indication - Discrete 2.8V 2-SMD 0603","LED2","1","Osram Opto","KB DELPS2.DI-THVG-2J8L-Z555","","","",""
"37","","Fitted","KRL3216T4A-M-R010-F-T1","Fixed Resistor, Metal Foil, 1W, 0.01ohm, 1% +/-Tol, 35ppm/Cel, Surface Mount, 1206","R89","1","Susumu","KRL3216T4A-M-R010-F-T1","","","",""
"38","","Fitted","LMV981TLX/NOPB","General Purpose Amplifier 1 Circuit Rail-to-Rail 6-DSBGA (1.5x1.3)","U16, U18","2","TI National Semiconductor","LMV981TLX/NOPB","","","",""
"39","","Fitted","LTST-C191KRKT","Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)","LED1","1","Vishay Lite-On","LTST-C191KRKT","","","",""
"40","","Fitted","MAKK2016T1R0M","1 µH Shielded Wirewound Inductor 2.2 A 75mOhm Max 0806 (2016 Metric)","L2","1","Taiyo Yuden","MAKK2016T1R0M","","","",""
"41","","Fitted","MAKK2520H1R5M","1.5 µH Shielded Wirewound Inductor 2.4 A 78mOhm Max 1008 (2520 Metric)","L1","1","Taiyo Yuden","MAKK2520H1R5M","","","",""
"42","","Fitted","MCP1501T-25E/RW","Series Voltage Reference IC 2.5V ±0.1%  8-WDFN (2x2)","U20","1","Microchip","MCP1501T-25E/RW","","","",""
"43","","Fitted","MLZ1608M220WT000","22µH Shielded Multilayer Inductor 150mA 2.4Ohm 0603 (1608 Metric)","L4","1","TDK","MLZ1608M220WT000","","","",""
"44","","Fitted","NCP15WB473F03RC","NTC Thermistor 47k 0402 (1005 Metric)","R86","1","Murata","NCP15WB473F03RC","","","",""
"45","","Fitted","NTCG103JF103FT1","NTC Thermistor 10k 0402 (1005 Metric)","R85","1","TDK","NTCG103JF103FT1","","","",""
"46","","Fitted","NTK3043NT1G","N-Channel 20V 210mA (Ta) 310mW (Ta) Surface Mount SOT-723","U8, U14, U22, U28","4","ON Semiconductor","NTK3043NT1G","","","",""
"46","","Not Fitted","NTK3043NT1G","N-Channel 20V 210mA (Ta) 310mW (Ta) Surface Mount SOT-723","U26","0","ON Semiconductor","NTK3043NT1G","","","",""
"47","","Fitted","OVM7690-RYAA","SENSOR CAMERA CMOS 20CAMERACUBE","U29","1","OmniVision Technologies","OVM7690-RYAA","OmniVision Technologies","OVM7690-R20A","",""
"48","","Fitted","PTS530GN055SMTRLFS","Tactile Switch SPST-NO Top Actuated Surface Mount","SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18","18","ITT C&K","PTS530GN055SMTRLFS","","","",""
"49","","Fitted","PUSB3AB4Z","TVS DIODE 3.3V 5V DFN2510A-10","U6, U7","2","Nexperia","PUSB3AB4Z","Nexperia","PUSB3FR4Z","",""
"50","","Fitted","RB751S40T1G","Diode Schottky 30V 30mA (DC) Surface Mount SOD-523","D1, D4","2","ON Semiconductor","RB751S40T1G","","","",""
"51","","Fitted","RES 0 OHM JUMPER 1/10W 0603","0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric)","R71","1","Stackpole Electronics","RMCF0603ZT0R00","Vishay","CRCW06030000ZSTA","",""
"51","","Not Fitted","RES 0 OHM JUMPER 1/10W 0603","0 Ohms Jumper 0.1W, 1/10W Chip Resistor 0603 (1608 Metric)","R72, R79","0","Stackpole Electronics","RMCF0603ZT0R00","Vishay","CRCW06030000ZSTA","",""
"52","","Fitted","RES 0 OHM JUMPER 1/16W 0402","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R9, R57, R61, R75","4","Stackpole Electronics","RMCF0402ZT0R00","Yageo","RC0402JR-070RP","Vishay","CRCW04020000Z0ED"
"52","","Not Fitted","RES 0 OHM JUMPER 1/16W 0402","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R53, R54, R62, R73","0","Stackpole Electronics","RMCF0402ZT0R00","Yageo","RC0402JR-070RP","Vishay","CRCW04020000Z0ED"
"53","","Fitted","RES 1.0K 1/16W 1% 0402","1 kOhms ±0.5% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thin Film","R77, R84","2","Vishay Dale","CRCW04021K00DHEDP","Yageo","RC0402FR-071KL","Panasonic","ERA-2AED102X"
